id,doc1,doc2,label
1,भारत एक सुंदर देश है,भारत एक खूबसूरत राष्ट्र है,1
2,भारत एक सुंदर देश है,भारत एक अद्भुत देश है,1
3,मौसम आज बहुत अच्छा है,आज का मौसम सुहावना है,1
4,मौसम आज बहुत अच्छा है,आज का दिन खुशनुमा है,1
5,विज्ञान ने मानव जीवन में क्रांति ला दी है,विज्ञान ने इंसान की जिंदगी में बड़े बदलाव किए हैं,1
6,राम और श्याम बाजार गए,श्याम और राम दुकान पर गए,1
7,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,मशीन लर्निंग का प्रयोग कंप्यूटर साइंस में लगातार बढ़ रहा है,1
8,मोबाइल फोन ने संचार को आसान बना दिया है,मोबाइल ने बात करने का तरीका सरल कर दिया है,1
9,शिक्षा का जीवन में बहुत महत्व है,जीवन में शिक्षा का बड़ा महत्व होता है,1
10,गाँधीजी को राष्ट्रपिता कहा जाता है,महात्मा गांधी को भारत का राष्ट्रपिता माना जाता है,1
11,पढ़ाई से ज्ञान मिलता है,ज्ञान प्राप्त करने का साधन पढ़ाई है,1
12,पृथ्वी सूर्य के चारों ओर घूमती है,धरती सूर्य की परिक्रमा करती है,1
13,गाँधीजी को राष्ट्रपिता कहा जाता है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
14,पढ़ाई से ज्ञान मिलता है,पढ़ाई इंसान का भविष्य बनाती है,0
15,मोबाइल फोन ने संचार को आसान बना दिया है,भारत एक सुंदर देश है,0
16,नदी का पानी बहुत ठंडा है,पृथ्वी सूर्य के चारों ओर घूमती है,0
17,चाँद रात में चमकता है,आज बाजार में सब्जियों के दाम बढ़ गए,0
18,भारत एक सुंदर देश है,पढ़ाई इंसान का भविष्य बनाती है,0
19,चाँद रात में चमकता है,पृथ्वी सूर्य के चारों ओर घूमती है,0
20,महिला सशक्तिकरण समाज के लिए जरूरी है,भारत की संस्कृति बहुत प्राचीन है,0
21,भारत एक सुंदर देश है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
22,नदी का पानी बहुत ठंडा है,मौसम आज बहुत अच्छा है,0
23,राम और श्याम बाजार गए,मौसम आज बहुत अच्छा है,0
24,भारत की संस्कृति बहुत प्राचीन है,आज बारिश होने की संभावना है,0
25,पृथ्वी सूर्य के चारों ओर घूमती है,आज बाजार में सब्जियों के दाम बढ़ गए,0
26,खेल कूद से स्वास्थ्य अच्छा रहता है,भारत एक सुंदर देश है,0
27,चाँद रात में चमकता है,राम और श्याम बाजार गए,0
28,मोबाइल फोन ने संचार को आसान बना दिया है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
29,पढ़ाई इंसान का भविष्य बनाती है,आज बारिश होने की संभावना है,0
30,भारत एक सुंदर देश है,फुटबॉल एक लोकप्रिय खेल है,0
31,पढ़ाई इंसान का भविष्य बनाती है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
32,चाँद रात में चमकता है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
33,भारत की संस्कृति बहुत प्राचीन है,मौसम आज बहुत अच्छा है,0
34,गाँधीजी को राष्ट्रपिता कहा जाता है,चाँद रात में चमकता है,0
35,फुटबॉल एक लोकप्रिय खेल है,पढ़ाई इंसान का भविष्य बनाती है,0
36,खेल कूद से स्वास्थ्य अच्छा रहता है,शिक्षा का जीवन में बहुत महत्व है,0
37,आज बाजार में सब्जियों के दाम बढ़ गए,गाँधीजी को राष्ट्रपिता कहा जाता है,0
38,चाँद रात में चमकता है,विज्ञान ने मानव जीवन में क्रांति ला दी है,0
39,पढ़ाई इंसान का भविष्य बनाती है,ताजमहल आगरा में स्थित है,0
40,मोबाइल फोन ने संचार को आसान बना दिया है,नदी का पानी बहुत ठंडा है,0
41,नदी का पानी बहुत ठंडा है,ताजमहल आगरा में स्थित है,0
42,पढ़ाई इंसान का भविष्य बनाती है,शिक्षा का जीवन में बहुत महत्व है,0
43,आज बाजार में सब्जियों के दाम बढ़ गए,गाँधीजी को राष्ट्रपिता कहा जाता है,0
44,मोबाइल फोन ने संचार को आसान बना दिया है,पढ़ाई से ज्ञान मिलता है,0
45,नदी का पानी बहुत ठंडा है,पढ़ाई से ज्ञान मिलता है,0
46,पढ़ाई से ज्ञान मिलता है,मौसम आज बहुत अच्छा है,0
47,महिला सशक्तिकरण समाज के लिए जरूरी है,मोबाइल फोन ने संचार को आसान बना दिया है,0
48,फुटबॉल एक लोकप्रिय खेल है,चाँद रात में चमकता है,0
49,भारत की संस्कृति बहुत प्राचीन है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
50,पढ़ाई इंसान का भविष्य बनाती है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
51,भारत एक सुंदर देश है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
52,पढ़ाई इंसान का भविष्य बनाती है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
53,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,चाँद रात में चमकता है,0
54,चाँद रात में चमकता है,मौसम आज बहुत अच्छा है,0
55,राम और श्याम बाजार गए,खेल कूद से स्वास्थ्य अच्छा रहता है,0
56,नदी का पानी बहुत ठंडा है,राम और श्याम बाजार गए,0
57,पढ़ाई से ज्ञान मिलता है,भारत एक सुंदर देश है,0
58,भारत की संस्कृति बहुत प्राचीन है,चाँद रात में चमकता है,0
59,फुटबॉल एक लोकप्रिय खेल है,ताजमहल आगरा में स्थित है,0
60,शिक्षा का जीवन में बहुत महत्व है,ताजमहल आगरा में स्थित है,0
61,नदी का पानी बहुत ठंडा है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
62,विज्ञान ने मानव जीवन में क्रांति ला दी है,राम और श्याम बाजार गए,0
63,महिला सशक्तिकरण समाज के लिए जरूरी है,भारत की संस्कृति बहुत प्राचीन है,0
64,महिला सशक्तिकरण समाज के लिए जरूरी है,भारत की संस्कृति बहुत प्राचीन है,0
65,शिक्षा का जीवन में बहुत महत्व है,पढ़ाई से ज्ञान मिलता है,0
66,पढ़ाई से ज्ञान मिलता है,राम और श्याम बाजार गए,0
67,चाँद रात में चमकता है,आज बारिश होने की संभावना है,0
68,नदी का पानी बहुत ठंडा है,भारत एक सुंदर देश है,0
69,नदी का पानी बहुत ठंडा है,भारत की संस्कृति बहुत प्राचीन है,0
70,गाँधीजी को राष्ट्रपिता कहा जाता है,आज बारिश होने की संभावना है,0
71,भारत एक सुंदर देश है,शिक्षा का जीवन में बहुत महत्व है,0
72,भारत एक सुंदर देश है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
73,विज्ञान ने मानव जीवन में क्रांति ला दी है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
74,पृथ्वी सूर्य के चारों ओर घूमती है,नदी का पानी बहुत ठंडा है,0
75,भारत की संस्कृति बहुत प्राचीन है,राम और श्याम बाजार गए,0
76,ताजमहल आगरा में स्थित है,मोबाइल फोन ने संचार को आसान बना दिया है,0
77,खेल कूद से स्वास्थ्य अच्छा रहता है,विज्ञान ने मानव जीवन में क्रांति ला दी है,0
78,ताजमहल आगरा में स्थित है,फुटबॉल एक लोकप्रिय खेल है,0
79,ताजमहल आगरा में स्थित है,भारत की संस्कृति बहुत प्राचीन है,0
80,विज्ञान ने मानव जीवन में क्रांति ला दी है,पृथ्वी सूर्य के चारों ओर घूमती है,0
81,मोबाइल फोन ने संचार को आसान बना दिया है,विज्ञान ने मानव जीवन में क्रांति ला दी है,0
82,ताजमहल आगरा में स्थित है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
83,नदी का पानी बहुत ठंडा है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
84,पृथ्वी सूर्य के चारों ओर घूमती है,मोबाइल फोन ने संचार को आसान बना दिया है,0
85,फुटबॉल एक लोकप्रिय खेल है,ताजमहल आगरा में स्थित है,0
86,गाँधीजी को राष्ट्रपिता कहा जाता है,मौसम आज बहुत अच्छा है,0
87,विज्ञान ने मानव जीवन में क्रांति ला दी है,आज बारिश होने की संभावना है,0
88,भारत की संस्कृति बहुत प्राचीन है,फुटबॉल एक लोकप्रिय खेल है,0
89,चाँद रात में चमकता है,ताजमहल आगरा में स्थित है,0
90,मौसम आज बहुत अच्छा है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
91,भारत की संस्कृति बहुत प्राचीन है,भारत एक सुंदर देश है,0
92,विज्ञान ने मानव जीवन में क्रांति ला दी है,मौसम आज बहुत अच्छा है,0
93,भारत की संस्कृति बहुत प्राचीन है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
94,फुटबॉल एक लोकप्रिय खेल है,पढ़ाई इंसान का भविष्य बनाती है,0
95,शिक्षा का जीवन में बहुत महत्व है,आज बारिश होने की संभावना है,0
96,फुटबॉल एक लोकप्रिय खेल है,मौसम आज बहुत अच्छा है,0
97,राम और श्याम बाजार गए,पृथ्वी सूर्य के चारों ओर घूमती है,0
98,आज बारिश होने की संभावना है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
99,पढ़ाई इंसान का भविष्य बनाती है,राम और श्याम बाजार गए,0
100,ताजमहल आगरा में स्थित है,आज बाजार में सब्जियों के दाम बढ़ गए,0
101,मौसम आज बहुत अच्छा है,पढ़ाई इंसान का भविष्य बनाती है,0
102,नदी का पानी बहुत ठंडा है,चाँद रात में चमकता है,0
103,भारत एक सुंदर देश है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
104,पृथ्वी सूर्य के चारों ओर घूमती है,पढ़ाई इंसान का भविष्य बनाती है,0
105,चाँद रात में चमकता है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
106,मौसम आज बहुत अच्छा है,नदी का पानी बहुत ठंडा है,0
107,आज बाजार में सब्जियों के दाम बढ़ गए,भारत एक सुंदर देश है,0
108,शिक्षा का जीवन में बहुत महत्व है,पढ़ाई से ज्ञान मिलता है,0
109,चाँद रात में चमकता है,भारत की संस्कृति बहुत प्राचीन है,0
110,भारत एक सुंदर देश है,मौसम आज बहुत अच्छा है,0
111,मौसम आज बहुत अच्छा है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
112,चाँद रात में चमकता है,पढ़ाई इंसान का भविष्य बनाती है,0
113,पढ़ाई से ज्ञान मिलता है,पढ़ाई इंसान का भविष्य बनाती है,0
114,खेल कूद से स्वास्थ्य अच्छा रहता है,आज बाजार में सब्जियों के दाम बढ़ गए,0
115,मोबाइल फोन ने संचार को आसान बना दिया है,मौसम आज बहुत अच्छा है,0
116,भारत की संस्कृति बहुत प्राचीन है,आज बाजार में सब्जियों के दाम बढ़ गए,0
117,चाँद रात में चमकता है,राम और श्याम बाजार गए,0
118,ताजमहल आगरा में स्थित है,आज बारिश होने की संभावना है,0
119,महिला सशक्तिकरण समाज के लिए जरूरी है,पढ़ाई से ज्ञान मिलता है,0
120,ताजमहल आगरा में स्थित है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
121,गाँधीजी को राष्ट्रपिता कहा जाता है,आज बाजार में सब्जियों के दाम बढ़ गए,0
122,भारत की संस्कृति बहुत प्राचीन है,आज बाजार में सब्जियों के दाम बढ़ गए,0
123,महिला सशक्तिकरण समाज के लिए जरूरी है,नदी का पानी बहुत ठंडा है,0
124,फुटबॉल एक लोकप्रिय खेल है,चाँद रात में चमकता है,0
125,पढ़ाई इंसान का भविष्य बनाती है,आज बारिश होने की संभावना है,0
126,आज बारिश होने की संभावना है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
127,खेल कूद से स्वास्थ्य अच्छा रहता है,आज बारिश होने की संभावना है,0
128,विज्ञान ने मानव जीवन में क्रांति ला दी है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
129,पढ़ाई से ज्ञान मिलता है,मोबाइल फोन ने संचार को आसान बना दिया है,0
130,विज्ञान ने मानव जीवन में क्रांति ला दी है,भारत की संस्कृति बहुत प्राचीन है,0
131,ताजमहल आगरा में स्थित है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
132,ताजमहल आगरा में स्थित है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
133,फुटबॉल एक लोकप्रिय खेल है,नदी का पानी बहुत ठंडा है,0
134,मौसम आज बहुत अच्छा है,मोबाइल फोन ने संचार को आसान बना दिया है,0
135,ताजमहल आगरा में स्थित है,नदी का पानी बहुत ठंडा है,0
136,मौसम आज बहुत अच्छा है,भारत एक सुंदर देश है,0
137,महिला सशक्तिकरण समाज के लिए जरूरी है,पृथ्वी सूर्य के चारों ओर घूमती है,0
138,मौसम आज बहुत अच्छा है,गाँधीजी को राष्ट्रपिता कहा जाता है,0
139,खेल कूद से स्वास्थ्य अच्छा रहता है,पृथ्वी सूर्य के चारों ओर घूमती है,0
140,महिला सशक्तिकरण समाज के लिए जरूरी है,राम और श्याम बाजार गए,0
141,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,पढ़ाई इंसान का भविष्य बनाती है,0
142,भारत की संस्कृति बहुत प्राचीन है,मौसम आज बहुत अच्छा है,0
143,चाँद रात में चमकता है,फुटबॉल एक लोकप्रिय खेल है,0
144,मौसम आज बहुत अच्छा है,पढ़ाई से ज्ञान मिलता है,0
145,गाँधीजी को राष्ट्रपिता कहा जाता है,पढ़ाई इंसान का भविष्य बनाती है,0
146,आज बारिश होने की संभावना है,पढ़ाई इंसान का भविष्य बनाती है,0
147,फुटबॉल एक लोकप्रिय खेल है,भारत एक सुंदर देश है,0
148,आज बारिश होने की संभावना है,ताजमहल आगरा में स्थित है,0
149,आज बाजार में सब्जियों के दाम बढ़ गए,भारत एक सुंदर देश है,0
150,पृथ्वी सूर्य के चारों ओर घूमती है,शिक्षा का जीवन में बहुत महत्व है,0
151,महिला सशक्तिकरण समाज के लिए जरूरी है,पढ़ाई से ज्ञान मिलता है,0
152,भारत एक सुंदर देश है,ताजमहल आगरा में स्थित है,0
153,नदी का पानी बहुत ठंडा है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
154,चाँद रात में चमकता है,नदी का पानी बहुत ठंडा है,0
155,आज बारिश होने की संभावना है,भारत की संस्कृति बहुत प्राचीन है,0
156,खेल कूद से स्वास्थ्य अच्छा रहता है,शिक्षा का जीवन में बहुत महत्व है,0
157,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,चाँद रात में चमकता है,0
158,मोबाइल फोन ने संचार को आसान बना दिया है,पढ़ाई इंसान का भविष्य बनाती है,0
159,चाँद रात में चमकता है,मोबाइल फोन ने संचार को आसान बना दिया है,0
160,आज बाजार में सब्जियों के दाम बढ़ गए,नदी का पानी बहुत ठंडा है,0
161,मौसम आज बहुत अच्छा है,आज बाजार में सब्जियों के दाम बढ़ गए,0
162,शिक्षा का जीवन में बहुत महत्व है,भारत की संस्कृति बहुत प्राचीन है,0
163,महिला सशक्तिकरण समाज के लिए जरूरी है,भारत की संस्कृति बहुत प्राचीन है,0
164,राम और श्याम बाजार गए,चाँद रात में चमकता है,0
165,राम और श्याम बाजार गए,शिक्षा का जीवन में बहुत महत्व है,0
166,भारत एक सुंदर देश है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
167,आज बारिश होने की संभावना है,चाँद रात में चमकता है,0
168,शिक्षा का जीवन में बहुत महत्व है,भारत एक सुंदर देश है,0
169,मौसम आज बहुत अच्छा है,शिक्षा का जीवन में बहुत महत्व है,0
170,महिला सशक्तिकरण समाज के लिए जरूरी है,मौसम आज बहुत अच्छा है,0
171,गाँधीजी को राष्ट्रपिता कहा जाता है,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,0
172,आज बारिश होने की संभावना है,पढ़ाई से ज्ञान मिलता है,0
173,विज्ञान ने मानव जीवन में क्रांति ला दी है,राम और श्याम बाजार गए,0
174,राम और श्याम बाजार गए,चाँद रात में चमकता है,0
175,शिक्षा का जीवन में बहुत महत्व है,मोबाइल फोन ने संचार को आसान बना दिया है,0
176,राम और श्याम बाजार गए,पढ़ाई से ज्ञान मिलता है,0
177,भारत एक सुंदर देश है,आज बाजार में सब्जियों के दाम बढ़ गए,0
178,भारत की संस्कृति बहुत प्राचीन है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
179,पढ़ाई इंसान का भविष्य बनाती है,ताजमहल आगरा में स्थित है,0
180,आज बारिश होने की संभावना है,शिक्षा का जीवन में बहुत महत्व है,0
181,आज बाजार में सब्जियों के दाम बढ़ गए,खेल कूद से स्वास्थ्य अच्छा रहता है,0
182,शिक्षा का जीवन में बहुत महत्व है,ताजमहल आगरा में स्थित है,0
183,आज बारिश होने की संभावना है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
184,कंप्यूटर विज्ञान में मशीन लर्निंग का उपयोग बढ़ रहा है,मौसम आज बहुत अच्छा है,0
185,चाँद रात में चमकता है,ताजमहल आगरा में स्थित है,0
186,आज बारिश होने की संभावना है,भारत एक सुंदर देश है,0
187,नदी का पानी बहुत ठंडा है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
188,आज बाजार में सब्जियों के दाम बढ़ गए,महिला सशक्तिकरण समाज के लिए जरूरी है,0
189,ताजमहल आगरा में स्थित है,आज बाजार में सब्जियों के दाम बढ़ गए,0
190,गाँधीजी को राष्ट्रपिता कहा जाता है,राम और श्याम बाजार गए,0
191,आज बारिश होने की संभावना है,शिक्षा का जीवन में बहुत महत्व है,0
192,शिक्षा का जीवन में बहुत महत्व है,महिला सशक्तिकरण समाज के लिए जरूरी है,0
193,ताजमहल आगरा में स्थित है,खेल कूद से स्वास्थ्य अच्छा रहता है,0
194,फुटबॉल एक लोकप्रिय खेल है,पढ़ाई से ज्ञान मिलता है,0
195,पढ़ाई से ज्ञान मिलता है,पढ़ाई इंसान का भविष्य बनाती है,0
196,महिला सशक्तिकरण समाज के लिए जरूरी है,मौसम आज बहुत अच्छा है,0
197,पृथ्वी सूर्य के चारों ओर घूमती है,भारत की संस्कृति बहुत प्राचीन है,0
198,नदी का पानी बहुत ठंडा है,चाँद रात में चमकता है,0
199,पढ़ाई से ज्ञान मिलता है,फुटबॉल एक लोकप्रिय खेल है,0
200,भारत की संस्कृति बहुत प्राचीन है,नदी का पानी बहुत ठंडा है,0